job_id,job_title,salary_usd,employment_type,company_location,is_remote,employee_location,job_skills,degree_required,posting_date,company_name,has_target,salary_tier,degree_flag
8,Data Analyst,160710,CT,Singapore,False,Singapore,"['Hadoop', 'Git', 'Mathematics', 'Python']",PhD,2024-11-04,Quantum Computing Inc,True,High,degree required
27,Data Analyst,52997,PT,Austria,False,Singapore,"['Mathematics', 'Kubernetes', 'TensorFlow', 'Tableau', 'PyTorch']",PhD,2025-01-10,Predictive Systems,True,Mid,degree required
80,Data Analyst,157597,CT,France,True,France,"['Git', 'Kubernetes', 'TensorFlow', 'R', 'Java']",Bachelor,2024-08-31,Neural Networks Co,False,High,degree required
91,Data Analyst,97997,CT,France,True,France,"['Hadoop', 'Python', 'TensorFlow', 'R', 'Statistics']",PhD,2024-06-19,Algorithmic Solutions,True,Mid,degree required
96,Data Analyst,109029,FT,France,False,France,"['Kubernetes', 'Scala', 'Java']",Bachelor,2025-04-05,Predictive Systems,False,High,degree required
102,Data Analyst,91577,CT,Netherlands,True,Netherlands,"['Spark', 'Mathematics', 'PyTorch', 'SQL', 'TensorFlow']",Bachelor,2024-01-27,Algorithmic Solutions,True,Mid,degree required
117,Data Analyst,65570,FL,Ireland,True,Ireland,"['PyTorch', 'SQL', 'MLOps', 'AWS', 'TensorFlow']",Associate,2024-10-22,Smart Analytics,True,Mid,degree required
152,Data Analyst,184637,PT,Sweden,True,Sweden,"['R', 'SQL', 'Data Visualization']",Bachelor,2024-05-23,Machine Intelligence Group,True,High,degree required
209,Data Analyst,48892,CT,France,True,Ireland,"['Linux', 'Python', 'NLP']",Bachelor,2024-10-08,DataVision Ltd,True,Low,degree required
228,Data Analyst,52027,PT,South Korea,True,South Korea,"['Kubernetes', 'Linux', 'Tableau', 'MLOps', 'Statistics']",Master,2024-04-18,Smart Analytics,True,Mid,degree required
237,Data Analyst,59198,FT,Canada,True,Switzerland,"['Linux', 'Kubernetes', 'Data Visualization', 'TensorFlow', 'Docker']",Master,2025-04-27,Algorithmic Solutions,False,Mid,degree required
248,Data Analyst,132056,CT,Netherlands,False,Netherlands,"['Java', 'Azure', 'Tableau', 'Python']",Master,2024-10-05,Digital Transformation LLC,True,High,degree required
264,Data Analyst,122796,PT,India,True,India,"['Scala', 'AWS', 'Spark', 'Deep Learning']",PhD,2024-08-20,Digital Transformation LLC,False,High,degree required
266,Data Analyst,118505,CT,United Kingdom,True,United Kingdom,"['Scala', 'Mathematics', 'MLOps', 'Python']",Bachelor,2025-03-15,Predictive Systems,True,High,degree required
268,Data Analyst,60019,CT,United Kingdom,True,United Kingdom,"['Java', 'Kubernetes', 'Tableau']",PhD,2024-03-11,Cognitive Computing,True,Mid,degree required
294,Data Analyst,47958,PT,Finland,True,Finland,"['Mathematics', 'Scala', 'MLOps', 'SQL']",Bachelor,2025-02-03,Advanced Robotics,True,Low,degree required
305,Data Analyst,64384,PT,Australia,False,Finland,"['Python', 'Kubernetes', 'Scala', 'Linux']",PhD,2024-02-23,Smart Analytics,True,Mid,degree required
316,Data Analyst,105723,CT,Sweden,True,India,"['NLP', 'SQL', 'Python']",Bachelor,2024-12-09,TechCorp Inc,True,High,degree required
356,Data Analyst,115634,FL,South Korea,True,India,"['Linux', 'Hadoop', 'Spark', 'Azure']",Master,2025-01-12,Digital Transformation LLC,False,High,degree required
364,Data Analyst,221235,FT,United Kingdom,False,Australia,"['Kubernetes', 'Docker', 'Tableau', 'Python', 'Spark']",Associate,2024-04-14,Predictive Systems,True,High,degree required
416,Data Analyst,298418,FL,Denmark,False,Denmark,"['Python', 'TensorFlow', 'AWS', 'MLOps']",Master,2024-05-11,Cloud AI Solutions,True,High,degree required
449,Data Analyst,187668,PT,Singapore,False,Singapore,"['Python', 'Data Visualization', 'Mathematics']",Master,2024-05-14,DataVision Ltd,True,High,degree required
458,Data Analyst,88878,FT,Japan,False,Japan,"['Deep Learning', 'Hadoop', 'NLP']",Master,2024-07-25,DeepTech Ventures,False,Mid,degree required
493,Data Analyst,117198,FL,France,True,France,"['R', 'Data Visualization', 'Git', 'GCP']",Bachelor,2025-04-07,Digital Transformation LLC,False,High,degree required
497,Data Analyst,217701,PT,Denmark,False,Denmark,"['PyTorch', 'GCP', 'Data Visualization', 'Deep Learning', 'Azure']",Bachelor,2024-03-01,Cloud AI Solutions,False,High,degree required
512,Data Analyst,92035,CT,Israel,True,Netherlands,"['AWS', 'Linux', 'TensorFlow', 'Git']",PhD,2025-02-12,Algorithmic Solutions,False,Mid,degree required
584,Data Analyst,49630,PT,Sweden,True,Sweden,"['Git', 'Spark', 'Statistics', 'MLOps', 'Mathematics']",Bachelor,2024-11-23,DeepTech Ventures,False,Low,degree required
596,Data Analyst,97771,CT,Singapore,False,Singapore,"['Linux', 'Scala', 'NLP', 'Hadoop']",Master,2024-05-25,Cloud AI Solutions,False,Mid,degree required
601,Data Analyst,169842,FL,Germany,True,Germany,"['GCP', 'Mathematics', 'Git', 'PyTorch']",Associate,2024-05-20,Digital Transformation LLC,False,High,degree required
634,Data Analyst,176838,FL,Norway,True,Norway,"['TensorFlow', 'AWS', 'Linux']",Master,2025-03-27,Cognitive Computing,False,High,degree required
636,Data Analyst,92317,FT,Norway,True,Norway,"['Git', 'R', 'TensorFlow', 'AWS']",Associate,2025-03-26,Algorithmic Solutions,False,Mid,degree required
641,Data Analyst,66066,FL,Israel,True,Israel,"['R', 'Java', 'Python', 'SQL']",Bachelor,2024-12-24,Future Systems,True,Mid,degree required
677,Data Analyst,60380,FL,Australia,False,Australia,"['Scala', 'Kubernetes', 'Computer Vision']",Associate,2024-12-07,Advanced Robotics,False,Mid,degree required
683,Data Analyst,40586,CT,Israel,False,China,"['TensorFlow', 'SQL', 'Tableau']",PhD,2024-05-02,Future Systems,True,Low,degree required
689,Data Analyst,89120,CT,India,True,India,"['Docker', 'Hadoop', 'Python', 'Tableau']",Master,2024-11-25,DataVision Ltd,True,Mid,degree required
716,Data Analyst,112934,CT,Norway,True,Norway,"['TensorFlow', 'GCP', 'NLP', 'Docker']",Associate,2025-02-18,Cognitive Computing,False,High,degree required
718,Data Analyst,107490,CT,Ireland,True,South Korea,"['Kubernetes', 'MLOps', 'AWS']",Master,2025-01-31,Cognitive Computing,False,High,degree required
728,Data Analyst,60973,FT,Australia,False,Finland,"['SQL', 'Deep Learning', 'Tableau', 'Kubernetes', 'Data Visualization']",Associate,2025-04-09,Autonomous Tech,True,Mid,degree required
731,Data Analyst,43605,PT,China,False,China,"['Azure', 'GCP', 'Python', 'TensorFlow', 'PyTorch']",PhD,2025-03-11,Smart Analytics,True,Low,degree required
767,Data Analyst,169198,FT,Finland,True,South Korea,"['Linux', 'Python', 'MLOps', 'NLP']",Bachelor,2025-03-04,DataVision Ltd,True,High,degree required
776,Data Analyst,55320,PT,Germany,True,United Kingdom,"['Linux', 'GCP', 'Git', 'PyTorch', 'Docker']",Master,2024-12-22,Digital Transformation LLC,False,Mid,degree required
788,Data Analyst,108228,PT,Netherlands,True,Netherlands,"['Data Visualization', 'Python', 'NLP', 'Mathematics', 'Kubernetes']",Bachelor,2024-06-05,TechCorp Inc,True,High,degree required
792,Data Analyst,139082,FL,United States,True,Sweden,"['Tableau', 'Scala', 'Docker', 'NLP']",Master,2024-06-30,Neural Networks Co,True,High,degree required
845,Data Analyst,180769,FL,Norway,False,Norway,"['R', 'NLP', 'MLOps', 'Tableau', 'Git']",PhD,2025-03-23,Cloud AI Solutions,True,High,degree required
875,Data Analyst,55870,FT,Austria,True,Austria,"['NLP', 'Git', 'Scala', 'Linux']",Master,2024-10-08,Machine Intelligence Group,False,Mid,degree required
900,Data Analyst,77410,FL,India,False,Austria,"['AWS', 'SQL', 'MLOps', 'Tableau']",Associate,2024-07-06,AI Innovations,True,Mid,degree required
901,Data Analyst,145271,FT,Netherlands,True,Netherlands,"['Git', 'R', 'Scala']",Master,2025-02-28,TechCorp Inc,False,High,degree required
915,Data Analyst,85604,FT,Austria,True,United Kingdom,"['Statistics', 'Scala', 'Hadoop']",Master,2024-11-08,Quantum Computing Inc,False,Mid,degree required
918,Data Analyst,349508,FT,Norway,False,South Korea,"['Java', 'SQL', 'R', 'Spark']",PhD,2024-03-06,Smart Analytics,True,High,degree required
930,Data Analyst,54926,FT,Israel,True,Israel,"['SQL', 'Computer Vision', 'Tableau', 'TensorFlow', 'Deep Learning']",PhD,2024-01-12,Cloud AI Solutions,True,Mid,degree required
934,Data Analyst,162562,FL,Australia,True,Australia,"['Git', 'Python', 'Linux']",Master,2024-06-13,DataVision Ltd,True,High,degree required
958,Data Analyst,52763,FL,France,True,France,"['Git', 'PyTorch', 'Computer Vision']",PhD,2025-01-23,Cloud AI Solutions,False,Mid,degree required
966,Data Analyst,64577,PT,Canada,True,Germany,"['Git', 'Python', 'Mathematics']",Master,2024-05-01,DeepTech Ventures,True,Mid,degree required
985,Data Analyst,129423,CT,Netherlands,True,Netherlands,"['GCP', 'Scala', 'Kubernetes', 'Git']",Master,2024-10-31,DataVision Ltd,False,High,degree required
995,Data Analyst,60598,FL,Netherlands,True,Netherlands,"['GCP', 'SQL', 'Computer Vision', 'Mathematics']",Bachelor,2025-01-18,Future Systems,True,Mid,degree required
1019,Data Analyst,108128,FL,United States,True,United States,"['Linux', 'SQL', 'Azure', 'R']",Bachelor,2025-04-22,Autonomous Tech,True,High,degree required
1031,Data Analyst,102169,PT,France,True,Sweden,"['Hadoop', 'Kubernetes', 'Python', 'Deep Learning', 'AWS']",Bachelor,2025-04-11,Predictive Systems,True,High,degree required
1032,Data Analyst,156162,CT,Singapore,True,Germany,"['Docker', 'Python', 'Computer Vision', 'NLP']",Master,2024-06-18,Neural Networks Co,True,High,degree required
1037,Data Analyst,55411,CT,Austria,True,Austria,"['MLOps', 'TensorFlow', 'Data Visualization', 'SQL', 'GCP']",Associate,2025-03-20,Quantum Computing Inc,True,Mid,degree required
1049,Data Analyst,123571,CT,Australia,False,Australia,"['Hadoop', 'Spark', 'MLOps', 'Computer Vision', 'Scala']",Master,2024-10-21,Neural Networks Co,False,High,degree required
