job_id,job_title,salary_usd,employment_type,company_location,is_remote,employee_location,job_skills,degree_required,posting_date,company_name,salary_tier,has_target,degree_flag
73,Data Analyst,111175,Full-time,United States,False,"California, United States","['sql', 'tableau', 'power bi', 'excel']",False,2023-03-23,Western Digital,High,True,no degree required
99,Data Analyst,70000,Full-time,Sudan,False,Sudan,"['c', 'outlook', 'word', 'excel', 'powerpoint']",False,2023-08-25,"Advanced Stimulation Technologies, Inc",Mid,False,no degree required
131,Data Analyst,120000,Full-time,United States,False,"New York, United States","['sql', 'visio', 'outlook', 'word', 'excel', 'powerpoint', 'sharepoint', 'tableau', 'flow']",False,2023-03-21,Delaware Nation Industries,High,True,no degree required
157,Data Analyst,117500,Contractor,United States,False,"Florida, United States","['sql', 'sql server', 'ssrs', 'ssis']",True,2023-02-28,Brooksource,High,True,no degree required
203,Data Analyst,77500,Full-time,Sudan,True,Sudan,"['python', 'sql', 'sqlite', 'snowflake', 'azure']",False,2023-10-09,Simplex.,Mid,True,no degree required
231,Data Analyst,85000,Full-time,United States,False,"New York, United States","['sql', 'azure', 'jira']",False,2023-06-14,MATRIX Resources,Mid,True,no degree required
273,Data Analyst,67500,Full-time,United States,False,"New York, United States","['python', 'excel', 'tableau']",False,2023-02-13,Universal,Mid,True,no degree required
337,Data Analyst,76007,Full-time,United States,True,"Florida, United States","['sql', 'python', 'r', 'sas', 'sas', 'matplotlib', 'tableau', 'power bi']",False,2023-08-03,Get It Recruit - Healthcare,Mid,True,no degree required
448,Data Analyst,83000,Full-time,United States,True,"California, United States","['sas', 'sas', 'sql', 'excel', 'tableau']",False,2023-03-24,Alameda Health Consortium/Community Health Center Network,Mid,True,no degree required
466,Data Analyst,115000,Full-time,United States,False,"California, United States","['sql', 'sas', 'sas', 'python', 'aws', 'qlik']",False,2023-04-03,Peraton,High,True,no degree required
468,Data Analyst,100500,Full-time,Lithuania,False,Lithuania,['sql'],True,2023-06-06,Softeta,High,True,no degree required
579,Data Analyst,72500,Full-time,Taiwan,False,Taiwan,['visual basic'],False,2023-09-21,NielsenIQ,Mid,False,no degree required
583,Data Analyst,120000,Full-time,United States,False,"New York, United States","['python', 'sql', 'jupyter', 'tableau']",False,2023-10-13,Jobot,High,True,no degree required
603,Data Analyst,127500,Full-time,United States,False,Georgia,['python'],False,2023-03-28,Kani Solutions Inc.,High,True,no degree required
657,Data Analyst,155000,Full-time,United States,False,Georgia,"['python', 'r', 'sql', 'sas', 'sas', 'qlik']",False,2023-03-14,UCB,High,True,no degree required
726,Data Analyst,90000,Full-time,United States,False,"Florida, United States","['sql', 'python', 'excel']",False,2023-05-24,Nahant Town Hall,Mid,True,no degree required
811,Data Analyst,66029,Full-time,United States,False,"New York, United States","['sql', 'excel', 'power bi']",False,2023-04-24,"PMHCC, Inc.",Mid,True,no degree required
854,Data Analyst,142500,Full-time,United States,False,"New York, United States","['sas', 'sas', 'matlab', 'r', 'spss']",False,2023-01-18,Analytic Solutions Group,High,False,no degree required
865,Data Analyst,100000,Full-time,United States,False,"Florida, United States","['sql', 'python', 'r', 'java', 'c++', 'databricks', 'ibm cloud', 'snowflake', 'spark', 'hadoop', 'numpy', 'pandas', 'tableau', 'power bi', 'terminal', 'git']",False,2023-12-19,"WWC Global, a Pequot Company",Mid,True,no degree required
887,Data Analyst,90000,Contractor,United States,False,"Illinois, United States","['sql', 'excel', 'flow']",True,2023-10-17,Stockell Consulting,Mid,True,no degree required
